,Unnamed: 0,r_rlkep_bs,Tb7_rlkep_bs,Tb6_rlkep_bs,Texe_bs_rlkep,Texe_err_bs_rlkep,Ncol_bs_rlkep,Ncol_err_bs_rlkep,r_rlkep_bs_fix_r,Tb7_rlkep_bs_fix_r,Tb6_rlkep_bs_fix_r,Texe_bs_rlkep_fix_r,Texe_err_bs_rlkep_fix_r,Ncol_bs_rlkep_fix_r,Ncol_err_bs_rlkep_fix_r
10,10,-0.2494645267162722,1.897227883338928,1.1172802448272705,35.12460456108123,"[21.994530803451827, 20.216922856097774]",3.830260055850418e+16,"[3.623239688984492e+16, 3.142904914193329e+16]",-3.3,-0.2598014771938324,0.6864204406738281,34.505463211875366,"[20.86831461562801, 20.93187007391692]",35533446473847.1,"[35395476711743.4, 7233757526583944.0]"
11,11,-0.2674317494149719,1.8405569791793823,1.0607978105545044,34.93335263495905,"[21.833894919256696, 20.153924135534744]",3.4452300951660776e+16,"[3.4105127229634344e+16, 2.9897529003896736e+16]",-3.6,3.482330083847046,1.5550906658172607,40.12863416441212,"[19.579535808254033, 17.21309105489351]",7.875180574828189e+16,"[2.5659513835078144e+16, 3.366472504680477e+16]"
12,12,-0.2874123353365932,2.358980894088745,1.4547908306121826,33.77230702884511,"[22.32654666662949, 20.837354388087597]",6.136356641511352e+16,"[2.3574211691418424e+16, 3.917744409989843e+16]",-3.9,2.613476514816284,0.18480564653873444,37.15207016481699,"[21.030052702973286, 19.254167661020702]",250518870604781.97,"[250285429147206.97, 2.0772214757682076e+16]"
13,13,-0.3097187344083442,1.7611802816390991,1.5136693716049194,25.56270953968979,"[19.448613486578218, 26.063169296214987]",5.819419150888374e+16,"[2.6264012159932376e+16, 1.0811706006354153e+18]",-4.2,0.32501253485679626,-0.08117006719112396,35.26652892787918,"[20.716888474411242, 20.1477925671786]",13706686954429.35,"[13606772104059.734, 1830043337269695.5]"
14,14,-0.3347264450755396,2.453179359436035,1.8466389179229736,27.620435578609275,"[20.929734084046487, 24.35898917522958]",7.885501675245878e+16,"[2.6101767300513024e+16, 9.381508754523478e+17]",-4.5,1.197643518447876,1.1247758865356445,31.880334022394926,"[21.11892299460347, 22.70671550619643]",2.3745897168051604e+16,"[2.3735288021975864e+16, 3.4392525052098892e+16]"
15,15,-0.3628899209041502,3.4747331142425537,2.4155635833740234,31.04185978757591,"[23.190652371499418, 22.24935546558828]",1.0985136270172274e+17,"[3.0190553224892544e+16, 2.6389210050787565e+17]",-4.8,0.5961739420890808,0.44567522406578064,34.504464528544986,"[20.092828649757315, 20.91223212749884]",35598895722165.27,"[35450226832277.87, 8114548286300376.0]"
16,16,-0.3947633638644731,2.7418971061706543,1.6955198049545288,33.58766991848074,"[23.798631800926614, 21.399245241237146]",7.57992926444443e+16,"[2.4941332545443584e+16, 5.056188891950474e+16]",-5.1,0.18945710361003876,-0.2794904410839081,35.930293736436994,"[20.776683743491553, 19.93920559687823]",11444546659991.518,"[11354668390792.588, 1334473868172699.8]"
17,17,-0.4310281984419578,3.52968168258667,2.6115221977233887,30.19546088513432,"[19.35619357071315, 21.653786540493645]",1.1090394759761794e+17,"[2.8521643658251584e+16, 5.650188985104504e+16]",-5.4,-0.6844993829727173,-0.6545450091362,35.189636021009974,"[20.751717282150068, 20.410316938460127]",7490198492332.059,"[7401676610038.303, 733621309887750.2]"
18,18,-0.472529797280308,3.651639223098755,2.174588918685913,36.92520529495296,"[20.225797397621193, 18.9110958950084]",1.0175940073510734e+17,"[2.700509163189563e+16, 4.140207395436189e+16]",-5.7,-1.3926423788070679,-0.5733096599578857,35.52165519316672,"[20.83006167299262, 19.858894535467265]",7118738380773.115,"[7047536642353.5625, 662125128648797.8]"
19,19,-0.5203271978707643,3.9133589267730713,3.668354749679565,12.475009511488963,"[4.2581435538731665, 22.012743951204158]",1.7982111502447565e+17,"[5.81121580315749e+16, 1.8729989695820114e+20]",,,,,,,
