,r_empkep_bs,Tb7_empkep_bs,Tb6_empkep_bs,Texe_bs_empkep,Texe_err_bs_empkep,Ncol_bs_empkep,Ncol_err_bs_empkep
10,-0.1967959247744506,1.871728539466858,1.1666250228881836,53.301845598482075,"[33.683453950955794, 31.907803197791495]",1.0892585684815112e+21,"[1.0103368660450868e+21, 1.058184573313675e+21]"
11,-0.21096978850234105,1.8405569791793823,1.0607978105545044,54.738681223327035,"[33.224014959493005, 31.16974989341442]",8.259360408357397e+20,"[8.232531931103225e+20, 1.0124500051307031e+21]"
12,-0.2267319408842425,2.623105764389038,1.4655539989471436,55.67282760486463,"[34.965456714299506, 30.140963455112647]",1.8713169083767023e+21,"[8.466465633352012e+20, 1.256328110527285e+21]"
13,-0.2443288653508058,1.9424606561660767,1.5874419212341309,49.85372354332365,"[34.47247938066653, 33.34783378783118]",1.7360956544464197e+21,"[7.869489475839534e+20, 1.3089611527461378e+21]"
14,-0.2640567826303633,2.6444029808044434,2.0676515102386475,50.69397047004615,"[37.26001475618335, 33.778537953950874]",2.591075489093923e+21,"[9.996057961603256e+20, 1.7481149466442491e+21]"
15,-0.2862741990442729,3.5437705516815186,2.5124080181121826,56.056866099198544,"[33.30292200870795, 29.71117267767727]",3.394646519220536e+21,"[1.1825301423448426e+21, 1.690212883666745e+21]"
16,-0.3114183097749203,2.9996085166931152,1.916771411895752,55.360066891492025,"[34.02421971256946, 30.884716447111245]",2.5363373469074797e+21,"[9.715218450330228e+20, 1.4146143251351874e+21]"
17,-0.34002667246043167,3.6083457469940186,2.8796534538269043,52.393523636826515,"[35.105347946609285, 32.554986397435584]",3.804100776775327e+21,"[1.3321827427246974e+21, 2.0090916264053891e+21]"
18,-0.37276617907693943,4.3240742683410645,2.519545078277588,64.71652755173216,"[28.837462108159663, 24.122734565540384]",3.6972643287819134e+21,"[1.2394497590178234e+21, 1.3479285593658842e+21]"
19,-0.41047227611137677,4.508894920349121,4.4101691246032715,38.0946860806085,"[28.31227914158579, 39.00281131798698]",5.605542448951101e+21,"[1.890360178719148e+21, 3.1798327785455614e+22]"
20,-0.45420279553920656,5.92249059677124,1.774939775466919,71.73804595891934,"[27.835350253464945, 19.855773019992995]",3.5181191873127105e+21,"[1.1744033097029701e+21, 1.2365725116310833e+21]"
21,-0.5053129651368132,5.516108989715576,4.645144939422607,52.68793032480238,"[32.134820009506285, 31.211653017749228]",6.269967082412803e+21,"[1.8803047966330978e+21, 2.7264654671780365e+21]"
22,-0.5655616855541129,7.531228542327881,5.6023969650268555,65.08254917340903,"[26.850850537789526, 23.553829240252853]",8.246125435179409e+21,"[2.2306603508413592e+21, 2.3668101747788617e+21]"
23,-0.63726490691564,9.200475692749023,6.4390106201171875,69.28110725671873,"[25.833249732460402, 20.958608691181553]",1.0193622249839681e+22,"[2.5417385734404204e+21, 2.517964492056635e+21]"
24,-0.7235215631280081,8.899955749511719,7.402534008026123,58.57773546770554,"[26.53762937594707, 27.075891987076233]",1.0354666692955915e+22,"[2.518686132772275e+21, 3.273357006654323e+21]"
25,-0.8285541173967209,8.824249267578125,7.845129489898682,46.35784514970733,"[32.028315297031725, 33.80907006022895]",1.0970152230427185e+22,"[2.827930288923802e+21, 2.008980262540735e+22]"
26,-0.9582353198675766,10.122602462768555,8.601304054260254,52.65194912178918,"[32.12017961068165, 31.06644568308834]",1.2499995756321927e+22,"[3.077242505782853e+21, 5.020789805230154e+21]"
27,-1.1209273316740056,10.337672233581543,9.804118156433105,32.14735027525097,"[16.591508607649843, 37.7744388809913]",1.4131470821867838e+22,"[3.690796054832499e+21, 3.34447040248498e+23]"
28,-1.3288643425344284,9.973036766052246,6.897049427032471,69.92891023402416,"[25.316053417784666, 21.111784413523907]",1.1210267591248596e+22,"[2.82892784412888e+21, 2.688559019164059e+21]"
29,-1.6005216332935353,6.537863731384277,5.198126792907715,58.91167901725637,"[28.961082228285118, 27.54066763807301]",7.287901589898385e+21,"[2.0986088858109388e+21, 2.5110811514390834e+21]"
30,-1.9648657728524357,6.507044792175293,6.118066310882568,41.60464163736548,"[29.29430684207091, 36.549987019577166]",7.891640479808482e+21,"[2.2279188102284155e+21, 7.502314951630795e+21]"
31,-2.469408937505854,10.164657592773438,6.518911361694336,71.6873887451489,"[25.433113952951942, 19.663708955263232]",1.1106569951977763e+22,"[2.707781836409329e+21, 2.56629581733541e+21]"
32,-3.1965215457649125,10.42145824432373,7.34904146194458,67.70632420194612,"[27.103252538761936, 21.982327658607275]",1.2025474527875568e+22,"[2.9593917821123717e+21, 3.030546419674979e+21]"
33,-4.299314989840283,3.2661826610565186,2.6327521800994873,52.692040022467296,"[30.889773510894663, 31.975838223311243]",3.249084438212737e+21,"[1.1110619631379714e+21, 1.6535293946247135e+21]"
34,-6.089370187918266,-0.5719081163406372,-0.6117098927497864,53.71147630769316,"[33.118283056852405, 31.753456360204225]",4.184887480011581e+17,"[4.1100570500402496e+17, 2.9531455178855883e+19]"
