,Unnamed: 0,r_empkep_rs,Tb7_empkep_rs,Tb6_empkep_rs,Texe_rs_empkep,Texe_err_rs_empkep,Ncol_rs_empkep,Ncol_err_rs_empkep,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r
14,14,0.4797746448082121,7.708628177642822,6.124699592590332,23.421040825815524,"[11.46461927444756, 19.262275226099995]",2.836168941372761e+17,"[5.113230107383776e+16, 5.804256254056605e+18]",4.5,0.2436690628528595,3.692347288131714,7.590440034346328,"[0.7004948619935805, 0.8857577968965735]",2.105202439595256e+19,"[2.077219719185836e+19, 1.4380832628517055e+21]"
15,15,0.4323961387161551,7.881830215454102,6.9131760597229,14.600589902827569,"[2.538542230208325, 15.31740811743457]",4.120732240606896e+17,"[1.4212826985165066e+17, 3.84468625079784e+20]",4.8,1.044074296951294,4.506292819976807,8.454795551619391,"[0.7111082406862295, 0.7913631742002103]",2.792030472864524e+19,"[2.7416256530182152e+19, 1.5344505677939986e+21]"
16,16,0.3917042399782424,6.1454691886901855,4.435977935791016,31.09457954189824,"[16.252373425182093, 20.69854391872903]",2.0178990378513744e+17,"[3.98023443150257e+16, 7.072661450117059e+16]",5.1,1.180476188659668,4.305109024047852,8.313241467081149,"[0.7130139857448121, 0.8140562104911364]",2.531461376244676e+19,"[2.4851835239394996e+19, 1.3685962470130311e+21]"
17,17,0.3564974274107951,4.363588333129883,3.783435583114624,17.14391773701078,"[8.565469047271796, 24.691234303489324]",1.711856815336278e+17,"[4.504681527330637e+16, 6.7409617341862535e+19]",5.4,0.461954265832901,3.6548526287078857,7.617928597326499,"[0.7117283026846906, 0.8574484086085468]",1.7026614454846878e+19,"[1.6744599565420358e+19, 1.3333976806683973e+21]"
18,18,0.3258324156198727,5.077045917510986,4.926084995269775,10.680032667583491,"[1.170492534512901, 13.016548092394821]",9.089783663694688e+17,"[7.320505642312031e+17, 5.279952823944419e+20]",5.7,1.2266136407852173,3.2509937286376953,7.5263974006705325,"[0.7352046307098794, 1.5898273965644432]",1.0307473390946392e+19,"[1.01646907379817e+19, 1.2166549175527046e+21]"
19,19,0.298960307530014,4.794351577758789,2.033801555633545,44.606316725846526,"[17.48909976385531, 14.246512724532948]",1.1176168774585757e+17,"[2.9390213616877024e+16, 3.605140815701728e+16]",,,,,,,
20,20,0.2752804326972524,2.366668701171875,2.0319666862487797,23.565789512689555,"[16.877569667910997, 26.431831159161625]",8.412062294616648e+16,"[2.819075681005752e+16, 1.497694710186933e+18]",,,,,,,
21,21,0.254306486345017,1.6524903774261477,1.597212553024292,22.35925453790509,"[16.321216713953422, 27.58901424216883]",6.091075308129086e+16,"[2.7391235751017104e+16, 5.268137739437454e+18]",,,,,,,
22,22,0.2356413608623303,1.0226620435714722,1.0806992053985596,32.3322176592288,"[21.146127847111295, 21.173719445353377]",1.4473282786294378e+16,"[1.447038062066875e+16, 3.656805421988848e+16]",,,,,,,
23,23,0.2189582100105525,0.3577242195606231,0.7933223247528076,34.03551280292869,"[20.67696622852871, 21.461928189613488]",148972665954255.28,"[148748009462266.53, 1.682076322542535e+16]",,,,,,,
24,24,0.2039860423164642,1.4860833883285522,0.3970211446285248,35.510630283536074,"[20.822733663377484, 19.95428294136549]",120149545317585.95,"[119955176061551.1, 1.4961943500643494e+16]",,,,,,,
25,25,0.1904986465862398,1.4043161869049072,0.4565921723842621,36.38342503209974,"[20.71577689238412, 19.43984858368549]",122693075013854.66,"[122507206391917.52, 1.6353094116410894e+16]",,,,,,,
